SucursalTaller,Marca,Modelo,DiasReparacion,CostoTTRep,Severidad,Segmento,Color,NombreTipoVehiculo,NombreCausaStro
MEDELLÍN,CHEVROLET,2017,61 a 120, Alto ,Fuerte,Pesado,BLANCO,FURGON,DISTRACCION DEL CONDUCTOR
MANIZALES,KIA,2012,121 a 240, Alto ,Medio,Liviano,GRIS,CAMIONETA PASAJEROS,OBSTACULOS EN LA VIA
BOGOTÁ,HINO,2007,31 a 60, Alto ,Medio,Pesado,BLANCO,FURGON,HURTO - ACCESORIOS Y/O PARTES
BOGOTÁ,KENWORTH,2013,31 a 60, Alto ,Fuerte,Pesado,NARANJA,REMOLCADOR,OBSTACULOS EN LA VIA
MEDELLÍN,INTERNATIONAL,2007,31 a 60, Alto ,Fuerte,Pesado,BLANCO,CHASIS,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,CHEVROLET,2021,31 a 60, Alto ,Fuerte,Pesado,BLANCO,FURGON,DISTRACCION DEL CONDUCTOR
CALI,BMW,2014,121 a 240, Alto ,Medio,Liviano,BLANCO,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,FREIGHTLINER,2011,61 a 120, Alto ,Fuerte,Pesado,AMARILLO,REMOLCADOR,OBSTACULOS EN LA VIA
MEDELLÍN,KENWORTH,2007,61 a 120, Alto ,Fuerte,Pesado,ROJO,REMOLCADOR,OBSTACULOS EN LA VIA
MEDELLÍN,KIA,2015,61 a 120, Alto ,Fuerte,Liviano,GRIS,CAMPERO,VIOLACION DE NORMAS DE TRANSITO
MANIZALES,DODGE,2014,61 a 120, Alto ,Fuerte,Liviano,NEGRO,CAMIONETA PASAJEROS,FALLA MECANICA
BOGOTÁ,KENWORTH,2008,31 a 60, Alto ,Fuerte,Pesado,ROJO,CAMION,OBSTACULOS EN LA VIA
BARRANQUILLA,CHEVROLET,2019,61 a 120, Alto ,Fuerte,Liviano,ROJO,AUTOMOVIL,OBSTACULOS EN LA VIA
BOGOTÁ,INTERNATIONAL,2011,31 a 60, Alto ,Medio,Pesado,BLANCO,VOLQUETA,OBSTACULOS EN LA VIA
CALI,HYUNDAI,2017,121 a 240, Alto ,Fuerte,Liviano,BLANCO,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
BOGOTÁ,MAZDA,2016,31 a 60, Alto ,Fuerte,Liviano,BLANCO,AUTOMOVIL,OBSTACULOS EN LA VIA
BOGOTÁ,FREIGHTLINER,2012,31 a 60, Alto ,Fuerte,Pesado,BLANCO,REMOLCADOR,OBSTACULOS EN LA VIA
BOGOTÁ,INTERNATIONAL,2006,31 a 60, Alto ,Fuerte,Pesado,ROJO,REMOLCADOR,OBSTACULOS EN LA VIA
BOGOTÁ,KENWORTH,2008,31 a 60, Alto ,Fuerte,Pesado,BLANCO,CAMION,DISTRACCION DEL CONDUCTOR
BOGOTÁ,CHEVROLET,2009,31 a 60, Alto ,Fuerte,Pesado,AZUL,CAMION,OBSTACULOS EN LA VIA
BOGOTÁ,RENAULT,2017,61 a 120, Alto ,Fuerte,Liviano,GRIS,PICKUP DOBLE CABINA,DISTRACCION DEL CONDUCTOR
MEDELLÍN,RENAULT,2017,16 a 30, Alto ,Medio,Liviano,GRIS,CAMIONETA PASAJEROS,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,CHEVROLET,2015,121 a 240, Alto ,Fuerte,Pesado,BLANCO,CHASIS,DISTRACCION DEL CONDUCTOR
BOGOTÁ,HINO,2017,61 a 120, Alto ,Fuerte,Pesado,BLANCO,CAMION,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,VOLVO,2020,31 a 60, Alto ,Medio,Liviano,GRIS,CAMIONETA PASAJEROS,DISTRACCION DEL CONDUCTOR
BOGOTÁ,SSANGYONG,2015,121 a 240, Alto ,Fuerte,Liviano,GRIS,CAMIONETA PASAJEROS,HURTO - ACCESORIOS Y/O PARTES
BARRANQUILLA,MAZDA,2016,16 a 30, Alto ,Medio,Liviano,BLANCO,FURGON,DISTRACCION DEL CONDUCTOR
BOGOTÁ,SEAT,2014,61 a 120, Alto ,Fuerte,Liviano,ROJO,REMOLCADOR,DISTRACCION DEL CONDUCTOR
CALI,KIA,2020,61 a 120, Alto ,Medio,Liviano,GRIS,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
BUCARAMANGA,CHEVROLET,2020,31 a 60, Alto ,Leve,Pesado,BLANCO,FURGON,OBSTACULOS EN LA VIA
BOGOTÁ,CHEVROLET,2021,121 a 240, Alto ,Fuerte,Liviano,ROJO,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
MANIZALES,AUDI,2019,31 a 60, Alto ,Fuerte,Liviano,GRIS,CAMIONETA PASAJEROS,DISTRACCION DEL CONDUCTOR
BARRANQUILLA,BMW,2015,61 a 120, Alto ,Medio,Liviano,PLATA,AUTOMOVIL,VIOLACION DE NORMAS DE TRANSITO
MANIZALES,SUBARU,2020,31 a 60, Alto ,Medio,Liviano,PLATA,CAMPERO,DISTRACCION DEL CONDUCTOR
PEREIRA,CHEVROLET,2013,121 a 240, Alto ,Fuerte,Pesado,BLANCO,CAMION,OBSTACULOS EN LA VIA
BARRANQUILLA,CHEVROLET,2019,31 a 60, Alto ,Fuerte,Liviano,GRIS,AUTOMOVIL,VIOLACION DE NORMAS DE TRANSITO
BUCARAMANGA,KENWORTH,2012,16 a 30, Alto ,Fuerte,Pesado,AMARILLO,REMOLCADOR,VIOLACION DE NORMAS DE TRANSITO
CALI,INTERNATIONAL,2013,61 a 120, Alto ,Fuerte,Pesado,ROJO,REMOLCADOR,OBSTACULOS EN LA VIA
BOGOTÁ,HINO,2021,61 a 120, Alto ,Fuerte,Pesado,BLANCO,FURGON,OBSTACULOS EN LA VIA
MEDELLÍN,KENWORTH,2007,16 a 30, Alto ,Fuerte,Pesado,ROJO,REMOLCADOR,DISTRACCION DEL CONDUCTOR
MANIZALES,JEEP ,2011,121 a 240, Alto ,Fuerte,Liviano,NEGRO,CAMPERO,DISTRACCION DEL CONDUCTOR
BOGOTÁ,SUZUKI,2014,31 a 60, Alto ,Medio,Liviano,ROJO,CAMPERO,HURTO - ACCESORIOS Y/O PARTES
BOGOTÁ,SSANGYONG,2014,61 a 120, Alto ,Fuerte,Liviano,GRIS,PICKUP DOBLE CABINA,VIOLACION DE NORMAS DE TRANSITO
